"path","category","purpose","recommended_action","reason"
".runtime\uat\20260209_195743\uat_kb_note.txt","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\20260209_195743\UAT_retest_P1.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\ingestion_jobs_uat.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\scheduler_heartbeat.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
".runtime\uat\scheduler_reports\cycle_20260209T103316Z.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
"backend\.env","backend_env","backend environment config","merge_review","keep .env.example as template; .env local only"
"backend\.env.example","backend_env","backend environment config","merge_review","keep .env.example as template; .env local only"
"backend\.pytest_cache\.gitignore","cache","pytest cache","can_delete_now","auto-generated by pytest"
"backend\.pytest_cache\CACHEDIR.TAG","cache","pytest cache","can_delete_now","auto-generated by pytest"
"backend\.pytest_cache\README.md","cache","pytest cache","can_delete_now","auto-generated by pytest"
"backend\.pytest_cache\v\cache\lastfailed","cache","pytest cache","can_delete_now","auto-generated by pytest"
"backend\.pytest_cache\v\cache\nodeids","cache","pytest cache","can_delete_now","auto-generated by pytest"
"backend\.pytest_cache\v\cache\stepwise","cache","pytest cache","can_delete_now","auto-generated by pytest"
"backend\.runtime\benchmarks\agent_benchmark_20260210_150821.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
"backend\.runtime\benchmarks\agent_benchmark_20260210_150947.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
"backend\.runtime\benchmarks\agent_benchmark_fixed_20260210.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
"backend\.runtime\benchmarks\agent_benchmark_full_20260210.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
"backend\.runtime\benchmarks\kb_benchmark_20260210_151731.json","runtime_artifact","runtime evidence/log artifact","archive_or_delete","not source code; keep only latest needed evidence"
"backend\.server_8001.pid","process_state","process id file","can_delete_now","stale runtime marker"
"backend\.server_8002.pid","process_state","process id file","can_delete_now","stale runtime marker"
"backend\.server_8003.pid","process_state","process id file","can_delete_now","stale runtime marker"
"backend\.server_8012.pid","process_state","process id file","can_delete_now","stale runtime marker"
"backend\.tmp\backtest_demo.db","tmp_data","temporary database/output","can_delete_now","temporary runtime directory"
"backend\__pycache__\run_scheduler.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\__pycache__\run_scheduler.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\__init__.py","backend_source","backend application source code","keep","active code"
"backend\app\__pycache__\__init__.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\__pycache__\__init__.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\__pycache__\config.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\__pycache__\config.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\__pycache__\database.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\__pycache__\database.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\__pycache__\main.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\__pycache__\main.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\__init__.py","backend_source","backend application source code","keep","active code"
"backend\app\api\__pycache__\__init__.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\__pycache__\__init__.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__init__.py","backend_source","backend application source code","keep","active code"
"backend\app\api\v1\__pycache__\__init__.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\__init__.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\agent.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\agent.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\analytics.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\analytics.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\backtest.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\backtest.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\chat.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\chat.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\holding.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\holding.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\knowledge_base.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\knowledge_base.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\market_data.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\market_data.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\portfolio.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\portfolio.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\quotes.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\quotes.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\realtime.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\stock.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\strategy.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\strategy.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\telemetry.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\__pycache__\telemetry.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\api\v1\agent.py","backend_source","backend application source code","keep","active code"
"backend\app\api\v1\analytics.py","backend_source","backend application source code","keep","active code"
"backend\app\api\v1\backtest.py","backend_source","backend application source code","keep","active code"
"backend\app\api\v1\chat.py","backend_source","backend application source code","keep","active code"
"backend\app\api\v1\holding.py","backend_source","backend application source code","keep","active code"
"backend\app\api\v1\knowledge_base.py","backend_source","backend application source code","keep","active code"
"backend\app\api\v1\market_data.py","backend_source","backend application source code","keep","active code"
"backend\app\api\v1\portfolio.py","backend_source","backend application source code","keep","active code"
"backend\app\api\v1\quotes.py","backend_source","backend application source code","keep","active code"
"backend\app\api\v1\realtime.py","backend_source","backend application source code","keep","active code"
"backend\app\api\v1\stock.py","backend_source","backend application source code","keep","active code"
"backend\app\api\v1\strategy.py","backend_source","backend application source code","keep","active code"
"backend\app\api\v1\telemetry.py","backend_source","backend application source code","keep","active code"
"backend\app\config.py","backend_source","backend application source code","keep","active code"
"backend\app\database.py","backend_source","backend application source code","keep","active code"
"backend\app\main.py","backend_source","backend application source code","keep","active code"
"backend\app\models\__init__.py","backend_source","backend application source code","keep","active code"
"backend\app\models\__pycache__\__init__.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\__init__.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\backtest.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\backtest.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\chat.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\chat.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\knowledge_base.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\knowledge_base.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\market_data.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\market_data.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\portfolio.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\portfolio.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\stock.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\stock.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\strategy.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\strategy.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\strategy_version.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\__pycache__\strategy_version.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\models\backtest.py","backend_source","backend application source code","keep","active code"
"backend\app\models\chat.py","backend_source","backend application source code","keep","active code"
"backend\app\models\knowledge_base.py","backend_source","backend application source code","keep","active code"
"backend\app\models\market_data.py","backend_source","backend application source code","keep","active code"
"backend\app\models\portfolio.py","backend_source","backend application source code","keep","active code"
"backend\app\models\stock.py","backend_source","backend application source code","keep","active code"
"backend\app\models\strategy.py","backend_source","backend application source code","keep","active code"
"backend\app\models\strategy_version.py","backend_source","backend application source code","keep","active code"
"backend\app\schemas\__init__.py","backend_source","backend application source code","keep","active code"
"backend\app\schemas\__pycache__\__init__.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\__init__.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\agent.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\agent.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\analytics.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\analytics.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\backtest.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\backtest.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\chat.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\chat.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\knowledge_base.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\knowledge_base.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\market_data.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\market_data.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\portfolio.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\portfolio.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\quote.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\quote.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\strategy.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\strategy.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\strategy_version.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\strategy_version.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\trade.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\__pycache__\trade.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\schemas\agent.py","backend_source","backend application source code","keep","active code"
"backend\app\schemas\analytics.py","backend_source","backend application source code","keep","active code"
"backend\app\schemas\backtest.py","backend_source","backend application source code","keep","active code"
"backend\app\schemas\chat.py","backend_source","backend application source code","keep","active code"
"backend\app\schemas\knowledge_base.py","backend_source","backend application source code","keep","active code"
"backend\app\schemas\market_data.py","backend_source","backend application source code","keep","active code"
"backend\app\schemas\portfolio.py","backend_source","backend application source code","keep","active code"
"backend\app\schemas\quote.py","backend_source","backend application source code","keep","active code"
"backend\app\schemas\strategy.py","backend_source","backend application source code","keep","active code"
"backend\app\schemas\strategy_version.py","backend_source","backend application source code","keep","active code"
"backend\app\schemas\trade.py","backend_source","backend application source code","keep","active code"
"backend\app\services\__init__.py","backend_source","backend application source code","keep","active code"
"backend\app\services\__pycache__\__init__.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\services\__pycache__\__init__.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\services\__pycache__\agent_service.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\services\__pycache__\agent_service.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\services\__pycache__\knowledge_base.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\services\__pycache__\knowledge_base.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\services\__pycache__\llm_service.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\services\__pycache__\llm_service.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\services\__pycache__\market_data_providers.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\services\__pycache__\market_data_providers.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\services\__pycache__\market_data_service.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\services\__pycache__\market_data_service.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\services\__pycache__\quote_service.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\services\__pycache__\quote_service.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\app\services\agent_service.py","backend_source","backend application source code","keep","active code"
"backend\app\services\knowledge_base.py","backend_source","backend application source code","keep","active code"
"backend\app\services\llm_service.py","backend_source","backend application source code","keep","active code"
"backend\app\services\market_data_providers.py","backend_source","backend application source code","keep","active code"
"backend\app\services\market_data_service.py","backend_source","backend application source code","keep","active code"
"backend\app\services\quote_service.py","backend_source","backend application source code","keep","active code"
"backend\benchmarks\__init__.py","benchmark","benchmark infra/testsets","keep","LLM quality benchmark assets"
"backend\benchmarks\__pycache__\__init__.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\benchmarks\__pycache__\agent_prompt_test_set.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\benchmarks\__pycache__\kb_qa_test_set.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\benchmarks\__pycache__\run_agent_benchmark.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\benchmarks\__pycache__\run_kb_benchmark.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\benchmarks\agent_prompt_test_set.py","benchmark","benchmark infra/testsets","keep","LLM quality benchmark assets"
"backend\benchmarks\kb_qa_test_set.py","benchmark","benchmark infra/testsets","keep","LLM quality benchmark assets"
"backend\benchmarks\README.md","benchmark","benchmark infra/testsets","keep","LLM quality benchmark assets"
"backend\benchmarks\run_agent_benchmark.py","benchmark","benchmark infra/testsets","keep","LLM quality benchmark assets"
"backend\benchmarks\run_kb_benchmark.py","benchmark","benchmark infra/testsets","keep","LLM quality benchmark assets"
"backend\config\ingestion_jobs.example.json","backend_config","backend config file","keep","application config"
"backend\config\ingestion_jobs.json","runtime_config","local ingestion job config","keep_local_not_track","local runtime config, often gitignored"
"backend\config\kb_benchmark_cases.kb004.json","backend_config","backend config file","keep","application config"
"backend\config\kb_benchmark_cases.prod.json","backend_config","backend config file","keep","application config"
"backend\config\kb_benchmark_cases.sample.json","backend_config","backend config file","keep","application config"
"backend\config\kb_benchmark_corpus\01_drawdown_risk_allocation_stop.txt","benchmark_data","benchmark corpus text","keep","used by benchmark pipeline"
"backend\config\kb_benchmark_corpus\02_sharpe_risk_return_volatility.txt","benchmark_data","benchmark corpus text","keep","used by benchmark pipeline"
"backend\config\kb_benchmark_corpus\03_overfit_validation_walk_window.txt","benchmark_data","benchmark corpus text","keep","used by benchmark pipeline"
"backend\config\kb_benchmark_corpus\04_version_reproducibility_snapshot_strategy.txt","benchmark_data","benchmark corpus text","keep","used by benchmark pipeline"
"backend\config\kb_benchmark_corpus\05_gap_missing_timestamp_quality.txt","benchmark_data","benchmark corpus text","keep","used by benchmark pipeline"
"backend\config\kb_benchmark_corpus\06_commission_slippage_cost_execution.txt","benchmark_data","benchmark corpus text","keep","used by benchmark pipeline"
"backend\config\kb_benchmark_corpus\07_us_cn_market_backtest.txt","benchmark_data","benchmark corpus text","keep","used by benchmark pipeline"
"backend\config\kb_benchmark_corpus\08_portfolio_position_sizing_budget.txt","benchmark_data","benchmark corpus text","keep","used by benchmark pipeline"
"backend\config\kb_benchmark_corpus\09_review_qualitative_recommendation_report.txt","benchmark_data","benchmark corpus text","keep","used by benchmark pipeline"
"backend\config\kb_benchmark_corpus\10_citation_evidence_traceability_source.txt","benchmark_data","benchmark corpus text","keep","used by benchmark pipeline"
"backend\config\kb_benchmark_corpus\corpus_pack.json","benchmark_data","benchmark corpus text","keep","used by benchmark pipeline"
"backend\config\kb_benchmark_policy.json","backend_config","backend config file","keep","application config"
"backend\data\kb\20260209063402_acceptance.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209063636_acceptance.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209063851_debug.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209064148_acceptance.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209064206_acceptance.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209064223_acceptance.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209064303_acceptance.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209064513_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209064716_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209064837_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209064928_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209072920_kb_upload_note.txt","data","knowledge-base data","review_needed","could be runtime data or fixtures"
"backend\data\kb\20260209075447_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209075458_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209080208_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209080217_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209080332_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209081118_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209081503_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209081540_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209081558_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209082325_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209082354_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209082423_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209082451_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209082508_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209083957_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209084020_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209084647_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209085151_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209085222_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209085252_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209085520_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209085603_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209093505_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209093708_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209102029_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209102048_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209102252_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209103443_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209103501_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209104156_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209104408_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209104428_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209111158_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209111218_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209112300_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209112320_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209113348_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209113405_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209115927_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
